time (sec)	GeoAODV-RandomPlacement-DES-1: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-2: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-3: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-4: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-5: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-6: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-7: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-8: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-9: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-10: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-11: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-12: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-13: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-14: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-15: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-17: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-18: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-19: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-20: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-21: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-22: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-23: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-24: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-25: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-26: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-27: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-28: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-29: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-30: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-31: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-32: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-33: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-34: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-35: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-36: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-37: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-38: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-39: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-40: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-41: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-42: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-43: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-44: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-45: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-46: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-47: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-48: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-49: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-50: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-51: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-52: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-53: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-54: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-55: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-56: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-57: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-58: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-59: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-60: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-61: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-62: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-63: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-64: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-65: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-66: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-67: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-68: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-69: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-70: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-71: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-72: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-73: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-74: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-75: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-76: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-77: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-78: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-79: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-80: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-81: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-82: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-83: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-84: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-85: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-86: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-87: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-88: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-89: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-90: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-91: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-92: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-93: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-94: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-95: AODV.Number of AODV Fallbacks 	GeoAODV-RandomPlacement-DES-96: AODV.Number of AODV Fallbacks 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
